model,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,avg_exposure,turnover
buy_hold,959.3025735816673,49.05728103692007,0.9495784053303846,-77.19171932933826,1.0,0.0
garch,215.93079701065344,21.476389100214497,0.8036420897132888,-56.21993332741104,0.547255956784928,538.0490463590561
lstm,295.1097747400369,26.158919978429008,0.8725948568588644,-56.84731882130565,0.5806602835655212,196.83973693847656
